date,precip_intensity,precip_accumulation,snow,rain,sunlight_hours,high_temp,low_temp,cloud_cover
2012-03-01,0.0087,0,0,1,11.165277777777778,45.17,27.55,0.95
2012-03-02,0.0001,0,0,1,11.218333333333334,44.03,32.73,0.96
2012-03-03,0.0007,0,0,1,11.27138888888889,56.24,42.98,0.93
2012-03-04,0,0,0,0,11.324444444444444,56.41,37.67,0.55
2012-03-05,0.0094,0,0,1,11.377777777777778,41.52,33.96,0.87
2012-03-06,0.0003,0,0,1,11.430833333333334,45.55,28.56,0.46
2012-03-07,0,0,0,0,11.484166666666667,49.85,22.76,0.09
2012-03-08,0,0,0,0,11.5375,64.41,26.88,0.14
2012-03-09,0,0,0,0,11.591111111111111,60.67,32.21,0.23
2012-03-10,0.0048,0,0,1,11.644444444444444,52.32,40.68,0.97
2012-03-11,0.0068,0,0,1,11.698055555555555,40.71,34.2,0.82
2012-03-12,0.0273,0,0,1,11.751666666666667,50.67,34.98,0.99
2012-03-13,0.0092,0,0,1,11.805277777777778,38.58,27.47,0.72
2012-03-14,0.0183,0,0,1,11.858888888888888,40.92,29.99,0.96
2012-03-15,0.0301,0,0,1,11.912777777777778,54.52,37.01,0.95
2012-03-16,0.0051,0,0,1,11.966111111111111,53.7,36.87,0.77
2012-03-17,0.0052,0,0,1,12.02,46.03,34.59,0.84
2012-03-18,0.0031,0,0,1,12.073611111111111,41.15,30.15,0.8
2012-03-19,0.0022,0,0,1,12.127222222222223,40.31,26.72,0.89
2012-03-20,0.0177,0,0,1,12.181111111111111,44.13,34.89,0.99
2012-03-21,0.0232,0,0,1,12.234722222222222,35.72,29.95,1
2012-03-22,0.0083,0,0,1,12.288333333333334,44.75,27.28,0.71
2012-03-23,0,0,0,0,12.341944444444444,55.7,28.9,0.5
2012-03-24,0,0,0,0,12.395555555555555,63.79,39.9,0.54
2012-03-25,0.0001,0,0,1,12.448888888888888,54.49,39.14,0.71
2012-03-26,0.0001,0,0,1,12.5025,56.66,35.66,0.67
2012-03-27,0.0075,0,0,1,12.556111111111111,54.81,41.56,0.99
2012-03-28,0.0039,0,0,1,12.609444444444444,53.03,42.36,0.85
2012-03-29,0.033,0,0,1,12.6625,54.09,42,1
2012-03-30,0.0219,0,0,1,12.715833333333334,54.15,38.2,1
2012-03-31,0.0181,0,0,1,12.768888888888888,53.38,38.23,0.91
2012-04-01,0.0025,0,0,1,12.821944444444444,42.99,35.59,0.76
2012-04-02,0,0,0,0,12.874722222222223,60.32,36.15,0.34
2012-04-03,0.0087,0,0,1,12.928055555555556,52.02,41.41,0.7
2012-04-04,0.0044,0,0,1,12.980555555555556,44.41,36.65,0.91
2012-04-05,0.0099,0,0,1,13.033333333333333,47.64,35.09,0.92
2012-04-06,0.0001,0,0,1,13.085833333333333,51.18,35.51,0.7
2012-04-07,0,0,0,0,13.138055555555555,62.41,26.55,0.33
2012-04-08,0,0,0,0,13.190555555555555,68.46,51.9,0.34
2012-04-09,0,0,0,0,13.2425,65.56,43.36,0.32
2012-04-10,0.0008,0,0,1,13.294444444444444,64.6,46.02,0.61
2012-04-11,0.0137,0,0,1,13.346388888888889,55.28,45.16,0.95
2012-04-12,0.0031,0,0,1,13.397777777777778,56.99,38.82,0.67
2012-04-13,0.0004,0,0,1,13.449444444444444,61.59,37.33,0.55
2012-04-14,0.0001,0,0,1,13.500833333333333,62.14,35.12,0.37
2012-04-15,0.0006,0,0,1,13.551666666666666,64.55,42.06,0.69
2012-04-16,0.0152,0,0,1,13.602777777777778,59.64,46.82,0.75
2012-04-17,0.004,0,0,1,13.653333333333334,50.75,34.65,0.74
2012-04-18,0.0054,0,0,1,13.703888888888889,57.7,43.04,0.83
2012-04-19,0.0129,0,0,1,13.75388888888889,56.86,40.92,0.82
2012-04-20,0.0016,0,0,1,13.803888888888888,57.3,47.62,0.84
2012-04-21,0,0,0,0,13.853333333333333,74.33,44.76,0.41
2012-04-22,0,0,0,0,13.902777777777779,80.07,47.46,0.13
2012-04-23,0,0,0,0,13.951944444444445,80.9,55.23,0.31
2012-04-24,0.0014,0,0,1,14.000833333333333,63.15,55.48,0.95
2012-04-25,0.003,0,0,1,14.049166666666666,65.41,53.38,0.95
